client_id,region,profile,is_fraudster,fraud_mode
RES_OUE_0000,OUEST,RESIDENTIEL,False,—
RES_NOR_0001,NORD,RESIDENTIEL,False,—
AGR_CEN_0002,CENTRE,AGRICOLE,False,—
RES_NOR_0003,NORD,RESIDENTIEL,False,—
RES_OUE_0004,OUEST,RESIDENTIEL,False,—
RES_SUD_0005,SUD,RESIDENTIEL,False,—
RES_EST_0006,EST,RESIDENTIEL,False,—
RES_EST_0007,EST,RESIDENTIEL,False,—
COM_CEN_0008,CENTRE,COMMERCIAL,False,—
RES_SUD_0009,SUD,RESIDENTIEL,False,—
RES_SUD_0010,SUD,RESIDENTIEL,False,—
COM_EST_0011,EST,COMMERCIAL,False,—
RES_NOR_0012,NORD,RESIDENTIEL,False,—
COM_CEN_0013,CENTRE,COMMERCIAL,False,—
AGR_CEN_0014,CENTRE,AGRICOLE,False,—
COM_CEN_0015,CENTRE,COMMERCIAL,False,—
RES_NOR_0016,NORD,RESIDENTIEL,False,—
RES_NOR_0017,NORD,RESIDENTIEL,False,—
COM_NOR_0018,NORD,COMMERCIAL,False,—
IND_NOR_0019,NORD,INDUSTRIEL,False,—
RES_NOR_0020,NORD,RESIDENTIEL,False,—
RES_NOR_0021,NORD,RESIDENTIEL,True,inject
RES_OUE_0022,OUEST,RESIDENTIEL,False,—
COM_EST_0023,EST,COMMERCIAL,False,—
RES_EST_0024,EST,RESIDENTIEL,True,tamper
RES_NOR_0025,NORD,RESIDENTIEL,False,—
RES_CEN_0026,CENTRE,RESIDENTIEL,True,inject
AGR_NOR_0027,NORD,AGRICOLE,False,—
COM_SUD_0028,SUD,COMMERCIAL,False,—
RES_OUE_0029,OUEST,RESIDENTIEL,False,—
RES_SUD_0030,SUD,RESIDENTIEL,False,—
RES_EST_0031,EST,RESIDENTIEL,False,—
RES_SUD_0032,SUD,RESIDENTIEL,True,bypass
RES_OUE_0033,OUEST,RESIDENTIEL,False,—
RES_NOR_0034,NORD,RESIDENTIEL,True,tamper
IND_NOR_0035,NORD,INDUSTRIEL,False,—
RES_EST_0036,EST,RESIDENTIEL,False,—
RES_CEN_0037,CENTRE,RESIDENTIEL,False,—
AGR_CEN_0038,CENTRE,AGRICOLE,False,—
RES_SUD_0039,SUD,RESIDENTIEL,False,—
RES_SUD_0040,SUD,RESIDENTIEL,False,—
AGR_SUD_0041,SUD,AGRICOLE,False,—
RES_OUE_0042,OUEST,RESIDENTIEL,False,—
RES_EST_0043,EST,RESIDENTIEL,False,—
COM_OUE_0044,OUEST,COMMERCIAL,False,—
RES_NOR_0045,NORD,RESIDENTIEL,True,inject
RES_SUD_0046,SUD,RESIDENTIEL,False,—
RES_CEN_0047,CENTRE,RESIDENTIEL,False,—
RES_OUE_0048,OUEST,RESIDENTIEL,False,—
RES_CEN_0049,CENTRE,RESIDENTIEL,False,—
COM_SUD_0050,SUD,COMMERCIAL,False,—
RES_SUD_0051,SUD,RESIDENTIEL,False,—
COM_OUE_0052,OUEST,COMMERCIAL,False,—
AGR_EST_0053,EST,AGRICOLE,False,—
IND_SUD_0054,SUD,INDUSTRIEL,False,—
RES_SUD_0055,SUD,RESIDENTIEL,False,—
RES_SUD_0056,SUD,RESIDENTIEL,False,—
RES_SUD_0057,SUD,RESIDENTIEL,False,—
RES_EST_0058,EST,RESIDENTIEL,False,—
COM_OUE_0059,OUEST,COMMERCIAL,False,—
RES_OUE_0060,OUEST,RESIDENTIEL,False,—
COM_SUD_0061,SUD,COMMERCIAL,False,—
RES_SUD_0062,SUD,RESIDENTIEL,False,—
RES_NOR_0063,NORD,RESIDENTIEL,False,—
RES_CEN_0064,CENTRE,RESIDENTIEL,False,—
RES_OUE_0065,OUEST,RESIDENTIEL,False,—
RES_EST_0066,EST,RESIDENTIEL,True,inject
RES_CEN_0067,CENTRE,RESIDENTIEL,False,—
